Epoch [1/2], Step: [437/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [438/781], Avg time for each step 0.0451s
Epoch [1/2], Step: [439/781], Avg time for each step 0.0499s
Epoch [1/2], Step: [440/781], Avg time for each step 0.0383s
Epoch [1/2], Step: [441/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [442/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [443/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [444/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [445/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [446/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [447/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [448/781], Avg time for each step 0.0472s
Epoch [1/2], Step: [449/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [450/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [451/781], Avg time for each step 0.0420s
